Movie_Id,character_name,character_description,protagonist,voice_only,Actor_Id
19321,Babblestorm,harness extensible e-tailers,1,0,90365
14991,Dabjam,reinvent clicks-and-mortar channels,0,0,95246
57474,Browsedrive,deliver real-time content,0,1,85391
71705,Myworks,enable bricks-and-clicks functionalities,1,0,10801
19914,Vidoo,incubate sexy supply-chains,1,1,19085
67300,Eabox,whiteboard best-of-breed relationships,0,0,43284
40648,Eire,scale intuitive niches,1,1,64467
16812,Brainlounge,synergize intuitive synergies,0,0,11911
65378,Trilith,leverage impactful niches,0,0,12627
96538,Blogpad,deploy one-to-one infomediaries,0,1,35745
38937,Flashset,transition vertical users,1,0,61226
37803,Gigaclub,strategize collaborative niches,1,1,81063
6220,Devpulse,drive impactful action-items,0,0,8928
72748,Edgeblab,iterate bleeding-edge eyeballs,0,1,81494
27088,Flashset,scale integrated metrics,1,0,1808
5318,Topicware,extend viral initiatives,0,0,5561
51604,Divape,disintermediate wireless markets,0,0,94360
52865,Jaxspan,deploy enterprise content,1,1,35885
50143,Quatz,maximize customized eyeballs,1,0,10973
12605,Oyoba,mesh robust eyeballs,0,0,92328
75209,Skinix,monetize one-to-one mindshare,0,0,9626
84128,Vinte,engage visionary technologies,1,0,5948
15264,Skalith,maximize plug-and-play e-business,1,1,61920
32125,Yoveo,maximize collaborative niches,1,0,45596
10367,Wikibox,deliver holistic e-tailers,1,1,68382
81503,Demivee,envisioneer e-business content,1,1,84200
15812,Blogtag,iterate B2C web services,1,0,6343
65554,Teklist,utilize B2C infomediaries,1,1,25381
88015,Browsecat,evolve cross-platform eyeballs,1,0,65493
53737,Camido,maximize plug-and-play systems,0,0,81410
68149,Eire,reinvent synergistic e-commerce,1,1,91106
84395,Mycat,empower out-of-the-box solutions,0,0,82890
80294,Bubblemix,scale revolutionary web-readiness,1,0,89334
57012,Twitterbeat,transition 24/7 systems,1,1,22018
55826,Yodel,synthesize intuitive systems,1,1,22233
40718,Realpoint,transition interactive users,1,0,43590
88529,Zoonder,transform viral web services,0,0,54355
66109,Blogtags,matrix out-of-the-box applications,1,1,62838
68104,Skippad,facilitate mission-critical applications,1,0,21855
1910,Brightbean,monetize e-business paradigms,1,1,86568
41582,Dazzlesphere,leverage 24/7 web-readiness,0,0,79814
93813,Abata,engineer world-class functionalities,1,0,30292
8948,Kaymbo,reintermediate intuitive paradigms,0,1,68642
94553,Dabvine,target innovative initiatives,0,0,77155
6915,Muxo,enhance sexy infomediaries,0,0,60027
34504,Gabvine,revolutionize e-business e-tailers,0,0,2147
78392,Twitterwire,synergize next-generation schemas,1,0,20397
29015,Quatz,transition synergistic applications,0,1,41161
92675,Meevee,leverage global infomediaries,0,1,37685
39811,Devbug,whiteboard cutting-edge eyeballs,0,1,95699
70426,Realblab,evolve intuitive niches,0,0,63371
23430,Einti,reinvent frictionless channels,0,0,38998
34632,Ailane,seize holistic action-items,1,1,54531
72140,Avaveo,iterate strategic methodologies,0,1,2216
48917,Yotz,engage turn-key paradigms,0,1,31174
44809,Jabbersphere,utilize dot-com models,1,1,35530
19977,Chatterbridge,deploy B2B interfaces,0,0,3992
2383,Oyoloo,unleash intuitive e-services,1,0,58835
72907,Thoughtmix,strategize frictionless infomediaries,0,0,77591
67164,Quimba,transform collaborative functionalities,1,0,67119
32159,Edgeblab,embrace extensible methodologies,1,0,75906
45286,Ooba,enable seamless e-commerce,1,0,74942
12718,Feedmix,incentivize clicks-and-mortar portals,1,0,8893
84361,Wikizz,iterate magnetic synergies,1,0,37447
52747,Rhycero,empower ubiquitous portals,1,0,46337
48406,Photofeed,matrix customized eyeballs,1,0,53780
48001,Twiyo,cultivate innovative architectures,1,1,34897
65535,Kwimbee,redefine distributed systems,0,0,49373
66392,Trudoo,evolve front-end synergies,1,1,58792
32372,Voomm,facilitate B2C applications,0,0,85142
75994,Centidel,incentivize ubiquitous bandwidth,0,1,87329
4558,Realblab,matrix magnetic niches,0,0,63714
15785,Midel,architect strategic content,0,0,12483
23542,Youfeed,benchmark impactful platforms,1,0,55758
72039,Realbuzz,empower scalable methodologies,1,0,59711
12610,Topiclounge,expedite cutting-edge infomediaries,1,1,39149
72114,Devify,synergize sexy infomediaries,0,0,89764
72723,Brightdog,cultivate cross-media technologies,0,1,47360
72531,Jabbertype,seize end-to-end networks,0,0,26641
708,Meeveo,enable impactful schemas,0,1,69000
8488,Topicstorm,scale integrated action-items,1,1,95176
2459,Quimm,embrace bricks-and-clicks e-services,0,0,43185
17702,Yotz,expedite end-to-end action-items,0,0,31043
59526,Lajo,transition transparent convergence,0,1,76535
9988,Riffpath,generate end-to-end infomediaries,1,0,792
86164,Chatterbridge,orchestrate user-centric networks,0,0,54981
60450,Blogtag,iterate dynamic e-tailers,1,0,55050
22896,Skibox,disintermediate one-to-one applications,1,0,47238
89727,Tekfly,evolve cutting-edge solutions,0,0,96373
84242,Wordify,seize collaborative e-services,1,0,60858
16857,Babbleset,facilitate extensible functionalities,0,0,83220
65721,Dablist,visualize proactive networks,1,0,35200
32169,Tagfeed,whiteboard web-enabled vortals,1,0,95394
32486,Youopia,drive web-enabled paradigms,0,0,97530
40965,Blogtag,utilize 24/365 interfaces,0,1,77569
54849,Yakijo,synthesize rich models,1,1,98523
37922,Miboo,deploy next-generation schemas,1,0,15573
86505,Linklinks,visualize one-to-one web services,0,1,22345
68030,Realcube,productize efficient e-services,0,0,72412
80607,Linktype,harness killer interfaces,1,0,68042
2977,Fivebridge,facilitate transparent networks,0,0,61733
54463,Avaveo,empower global bandwidth,1,1,58354
71926,Bluejam,evolve viral e-tailers,1,0,61563
91545,Thoughtbeat,target scalable action-items,1,1,5358
38209,Chatterbridge,e-enable killer communities,1,1,94671
96156,Edgeblab,utilize killer users,0,0,62855
30732,Browseblab,facilitate frictionless initiatives,0,0,53620
33739,Jabbertype,mesh turn-key methodologies,0,0,64419
17228,Tazzy,revolutionize open-source action-items,1,0,15160
93541,Thoughtmix,brand web-enabled users,0,0,60048
24104,Flashdog,harness open-source channels,0,1,95261
91655,Skiptube,enhance frictionless interfaces,0,1,97400
4547,Linklinks,aggregate sticky users,0,0,2633
84561,Podcat,disintermediate viral solutions,0,1,95582
44693,Oodoo,facilitate integrated schemas,1,1,97159
44511,Zava,benchmark next-generation supply-chains,1,0,39401
4566,Jabbercube,whiteboard bleeding-edge interfaces,0,0,53119
88364,Zoomlounge,deploy open-source partnerships,0,1,35592
88565,Skyvu,expedite bleeding-edge eyeballs,0,0,12262
63326,Wikizz,architect proactive convergence,1,0,76156
48781,Twitterbeat,syndicate enterprise communities,0,1,4150
30973,Tagcat,envisioneer cutting-edge architectures,0,1,70287
96756,Blogtags,evolve out-of-the-box initiatives,1,0,35025
46396,Vipe,enhance leading-edge content,0,0,25188
48035,Eazzy,scale real-time platforms,1,0,22813
18867,Brainverse,target leading-edge solutions,1,1,93657
69071,Tagfeed,disintermediate open-source systems,1,1,76407
79360,Babbleopia,evolve cross-media synergies,0,1,38180
67643,Gigashots,grow e-business bandwidth,0,1,38305
51173,Tagcat,strategize transparent partnerships,1,0,71764
71976,Dynabox,drive turn-key e-commerce,0,0,42003
65775,Fanoodle,maximize clicks-and-mortar channels,0,1,96354
90969,Babblestorm,streamline killer infomediaries,0,0,23866
34752,Camimbo,mesh best-of-breed platforms,1,0,16422
36191,Eamia,utilize compelling metrics,1,1,28489
74777,Jaxspan,redefine enterprise architectures,0,0,70092
92958,Yadel,incentivize proactive platforms,1,1,27172
10063,Oyoyo,mesh bricks-and-clicks models,0,0,25328
23460,Realcube,deploy intuitive e-markets,0,0,1307
62474,Oyoba,grow rich functionalities,1,1,18159
30303,Thoughtblab,drive sticky functionalities,0,1,40223
79475,Thoughtstorm,grow clicks-and-mortar e-markets,0,0,38758
93763,Eabox,productize intuitive e-services,0,1,24591
19935,Vipe,leverage efficient convergence,1,1,37605
10484,Feedmix,engage interactive eyeballs,1,0,51434
50035,Dabfeed,enhance synergistic users,1,1,95548
14020,Zoomzone,repurpose viral infomediaries,0,0,29199
56453,Tagtune,cultivate value-added portals,1,1,59037
15568,Gigabox,engage dot-com interfaces,0,0,5984
59053,Eayo,synergize global networks,0,0,52100
53261,Topiclounge,implement sexy e-markets,0,1,39500
41054,Edgepulse,streamline scalable partnerships,0,1,13923
42114,Zazio,synthesize sticky applications,1,0,39344
89484,Meeveo,orchestrate enterprise experiences,1,0,29824
77700,Minyx,incentivize proactive action-items,1,0,78282
83454,Mita,architect bleeding-edge e-markets,0,0,26259
51492,Gigashots,orchestrate open-source users,1,0,86255
61725,Jaloo,maximize ubiquitous networks,0,0,86089
39101,Eire,envisioneer best-of-breed convergence,0,1,96735
15639,Meezzy,utilize magnetic bandwidth,1,1,77577
23907,Edgeblab,integrate magnetic interfaces,1,0,96853
85341,Skajo,reinvent compelling communities,0,1,63993
40659,Vipe,expedite visionary web-readiness,0,0,53189
71105,Twitterlist,optimize front-end methodologies,1,0,47977
56131,Trudeo,streamline leading-edge e-services,0,1,14512
79898,Roodel,leverage bleeding-edge vortals,0,0,79220
62608,Quamba,grow integrated relationships,0,0,86040
80331,Thoughtbridge,strategize synergistic functionalities,0,0,64526
58942,Gigashots,evolve real-time interfaces,1,0,69651
17982,Yacero,transition 24/365 paradigms,0,0,40151
55115,Gigaclub,transition collaborative deliverables,1,0,55422
32797,Babblestorm,integrate bricks-and-clicks e-business,0,0,25400
39396,Dynabox,generate one-to-one vortals,0,1,71077
71898,Kimia,orchestrate end-to-end vortals,1,1,2067
74089,Zava,aggregate cutting-edge web services,0,1,81588
30014,Realbuzz,whiteboard distributed niches,0,1,15124
10485,Kanoodle,enhance turn-key action-items,0,0,31929
25194,Edgeclub,integrate dot-com interfaces,1,0,47294
68984,Edgeblab,reinvent bricks-and-clicks e-tailers,0,0,34445
41543,Oyoyo,innovate ubiquitous platforms,1,0,98917
45423,Demimbu,seize cross-media networks,0,1,70540
77120,Shufflester,harness web-enabled paradigms,0,0,2560
2245,Babblestorm,incubate frictionless metrics,1,0,24279
32295,Photobean,expedite customized mindshare,0,0,64472
57707,Blogtag,repurpose extensible vortals,0,1,17648
87572,Quimba,brand one-to-one e-services,1,1,75107
72102,Lazz,utilize revolutionary infrastructures,0,0,78645
28371,Yabox,cultivate collaborative portals,1,1,53309
18595,Demivee,recontextualize global e-markets,0,1,2554
82560,Innotype,implement B2B communities,1,0,79001
8231,Zooxo,innovate sticky synergies,1,0,39573
49974,Quinu,deploy B2B interfaces,1,1,71206
19566,Skimia,syndicate one-to-one infrastructures,0,0,13169
78361,Realblab,morph 24/7 platforms,0,1,79604
83430,Flashdog,deliver extensible e-commerce,0,0,10041
44704,Demimbu,iterate virtual supply-chains,0,1,63082
62398,Bubbletube,synthesize distributed supply-chains,0,1,14601
33433,Oyoyo,embrace vertical niches,0,1,51960
58131,Skynoodle,strategize transparent eyeballs,1,0,16099
58248,Voomm,extend web-enabled convergence,1,1,34808
72155,Feedbug,scale compelling vortals,1,0,65494
81108,Skyble,enhance 24/365 users,0,1,67850
693,Edgeblab,deploy value-added networks,0,1,84328
35988,Riffpath,incentivize visionary supply-chains,0,0,34035
57812,Ntag,exploit 24/7 infomediaries,0,0,18095
11647,Gevee,extend collaborative solutions,1,0,19405
82550,Myworks,disintermediate plug-and-play e-services,1,0,57252
29600,Flashset,embrace dot-com bandwidth,0,1,92145
58021,Eire,redefine sticky architectures,1,1,40042
1908,Flipbug,deliver seamless initiatives,1,0,40049
443,Dazzlesphere,evolve next-generation portals,0,1,28060
27011,Fatz,embrace vertical interfaces,0,1,66950
60747,Buzzshare,matrix vertical supply-chains,1,0,52017
11814,Fivebridge,scale distributed infrastructures,1,1,98069
54880,Aivee,productize bleeding-edge paradigms,1,1,79767
84937,Zoomdog,redefine virtual functionalities,0,0,43549
31237,Centidel,incentivize cross-platform channels,1,1,87899
81899,Feedfish,deploy collaborative channels,1,1,70232
29492,Dynabox,redefine e-business platforms,1,1,33709
61185,Brainverse,e-enable plug-and-play infrastructures,1,0,55815
23073,Vipe,iterate e-business e-markets,0,0,12385
75159,Omba,revolutionize turn-key relationships,0,0,11647
83763,Brainlounge,scale one-to-one web-readiness,1,1,22474
3468,Wordware,enhance open-source e-markets,1,1,31819
14488,Blognation,grow e-business content,1,0,67155
58525,Bubbletube,optimize bleeding-edge paradigms,1,1,30565
14225,Wordtune,transform frictionless networks,0,0,729
3739,Wikivu,redefine viral experiences,1,1,20065
83798,Oyoyo,expedite frictionless action-items,1,0,53561
65153,Devify,reinvent clicks-and-mortar niches,1,1,65450
29890,Oyoloo,cultivate scalable paradigms,0,1,44219
65259,Centimia,seize rich users,1,0,34018
42490,Zooveo,enable wireless e-services,1,1,43191
10305,Wikibox,grow holistic supply-chains,0,1,66431
91666,Jamia,mesh compelling deliverables,1,1,57389
35839,Trudoo,innovate out-of-the-box applications,0,0,54327
68483,Leenti,revolutionize wireless web-readiness,1,1,39163
59363,Ooba,maximize web-enabled schemas,0,0,58862
51654,Dynava,monetize killer models,1,1,57114
18086,Centimia,engage proactive infomediaries,1,1,41274
5997,Quinu,morph holistic niches,0,0,79559
62379,Rhycero,morph cutting-edge niches,1,1,38736
68743,Topicware,maximize real-time convergence,1,0,50718
94496,Zooveo,empower turn-key methodologies,1,1,1331
21628,Skyble,recontextualize back-end metrics,0,1,53341
30065,Divape,facilitate granular technologies,1,1,78118
40859,Quimm,leverage bleeding-edge methodologies,0,1,13401
59134,Wikizz,empower scalable e-services,0,0,69773
59982,Cogibox,expedite best-of-breed methodologies,1,1,6265
37755,Tagopia,embrace B2B partnerships,0,0,35311
