comment,rank,Movie_Id,User_Id,Date
national,1,10422,95050,1996-01-13
secured line,5,83593,60607,1973-01-17
static,5,71397,82524,2017-01-17
Re-contextualized,4,64324,24556,1984-03-17
local,1,2170,53692,1999-05-12
User-centric,3,33352,94820,2003-04-16
policy,5,12551,68304,1977-01-23
project,3,80378,5189,1970-07-22
Monitored,4,56945,5455,2015-10-02
client-driven,2,82988,13432,2009-02-22
customer loyalty,4,66600,585,1985-07-03
Monitored,2,71473,8851,2006-07-05
Optimized,3,9141,56703,1951-01-23
project,2,46973,30883,1956-08-16
hierarchy,1,87504,66428,1968-09-19
Robust,1,20363,37527,1957-02-25
migration,4,98345,41619,1956-03-08
optimizing,1,18555,79063,2009-07-03
Organic,5,95218,94829,1965-10-25
function,3,57239,64287,1996-01-14
moderator,1,92776,47893,2016-07-18
Switchable,5,17202,20029,1953-05-23
static,5,43837,68581,1974-01-15
eco-centric,3,63604,9049,2006-05-07
tangible,3,5455,89228,1956-05-13
Extended,1,61398,2403,1987-08-22
Team-oriented,3,64116,83622,2007-04-23
system engine,2,78761,39764,1970-12-24
standardization,3,70236,11200,1995-12-07
flexibility,3,78593,84714,2014-10-28
Polarised,1,73400,70836,2016-11-26
Customer-focused,3,41844,4497,1993-12-21
Robust,1,25699,13043,1950-07-20
collaboration,5,81060,70284,1988-01-27
throughput,5,12144,76802,2002-09-29
concept,4,64344,21750,1985-09-05
strategy,4,78587,65818,1959-11-16
client-driven,2,3869,60207,2013-11-13
responsive,5,75304,85502,1989-03-10
Organic,2,27866,53751,1964-02-10
Future-proofed,4,62901,1022,1998-09-08
Mandatory,5,42033,3278,1984-06-02
Universal,3,91164,80494,1996-04-19
complexity,2,37225,38122,1975-02-15
Horizontal,1,74801,23499,1989-03-15
impactful,1,34730,24293,1963-08-29
circuit,5,28255,66450,1953-11-23
infrastructure,5,78280,69992,2010-07-09
bifurcated,2,78019,38821,2010-06-11
Operative,4,53114,20169,1988-05-13
non-volatile,3,20898,14938,2015-09-17
Visionary,4,49246,15533,1975-12-08
Automated,4,55084,62861,1994-04-27
systemic,2,75929,46286,1998-04-12
web-enabled,2,84089,98150,1969-07-12
Multi-lateral,5,72987,41633,2001-09-06
eco-centric,3,94808,13760,1958-11-21
Cross-platform,3,44753,36165,2002-03-10
knowledge user,4,47134,92463,1954-01-22
6th generation,4,6768,39318,2010-05-06
adapter,5,2911,44761,1983-11-26
info-mediaries,5,27284,47176,1979-09-02
background,4,22252,88419,1981-02-04
structure,2,61992,29019,1998-09-07
hub,1,77101,85938,1972-08-17
budgetary management,5,95179,7720,1996-10-20
artificial intelligence,4,40996,38366,2012-06-07
client-driven,4,71845,2887,1986-07-06
Re-contextualized,3,36433,82864,1996-02-12
zero defect,2,92735,28619,2005-01-15
pricing structure,1,43436,38258,1964-01-30
success,4,7337,12534,1995-08-02
Compatible,2,96722,34340,1962-01-02
bandwidth-monitored,4,81854,15475,1980-08-13
high-level,5,79613,38661,2015-01-14
user-facing,2,39393,65865,1958-02-01
capacity,4,87527,44632,1987-07-02
analyzer,2,46358,75125,2001-02-24
Multi-channelled,5,40058,98940,1977-10-11
local,2,86105,86615,2000-05-28
Customer-focused,3,20899,55909,1980-08-12
functionalities,4,17551,64824,1987-04-09
Persevering,2,6016,23905,1965-10-08
focus group,2,24504,39014,1969-05-31
3rd generation,3,64105,73853,1952-06-18
interface,4,38977,36612,1981-06-05
explicit,3,65832,79063,1952-01-27
