comment,rank,Movie_Id,User_Id,Date
capacity,4,58981,27912,7/8/1979
methodology,5,66567,53155,6/2/1972
Operative,1,7075,18314,7/1/2004
4th generation,5,42018,67522,5/8/1952
Face to face,4,25849,29662,10/29/1997
adapter,3,30302,14078,5/27/1999
scalable,5,78443,53905,6/30/1953
systematic,3,73116,50357,6/8/1950
software,2,7034,74452,12/21/1991
Expanded,1,71336,95265,10/9/1957
mission-critical,5,76337,38908,9/1/1986
hybrid,5,58120,12023,2/2/1974
Integrated,3,3756,12048,8/29/1999
leverage,4,46479,37938,12/19/1954
Synergized,1,15223,81015,8/22/1988
initiative,4,61887,34805,2/4/2008
help-desk,1,41071,79189,8/28/2009
emulation,5,82818,50652,6/5/1976
motivating,2,4993,28529,11/13/1963
user-facing,4,63663,14358,10/6/2010
Networked,2,51850,33733,5/20/1966
software,2,58864,88809,4/6/1956
Versatile,2,8869,37784,6/18/1988
open architecture,2,22079,9324,6/6/1961
Mandatory,3,56380,92148,6/23/1988
impactful,5,90257,73564,11/14/1995
Face to face,2,2918,54386,7/1/2011
policy,2,21985,93325,9/3/1956
web-enabled,2,95228,93301,3/5/1982
Versatile,3,95950,54968,8/1/1995
toolset,1,84007,14542,1/18/1972
Inverse,5,8051,20079,3/14/1987
encoding,4,55003,5533,3/16/2004
Multi-layered,2,30490,28775,5/29/2001
archive,4,58129,50871,1/5/1998
zero administration,5,71320,54229,8/4/2006
Visionary,1,60094,79255,1/20/2000
multi-tasking,1,80386,85734,11/29/2016
non-volatile,4,10893,48443,10/22/1959
modular,1,18008,57200,8/23/1961
service-desk,4,91023,23604,6/4/1989
local area network,2,95163,68361,4/24/2013
Multi-lateral,4,58614,38812,9/16/2010
asymmetric,3,96660,5901,11/21/1998
attitude-oriented,4,61496,84384,4/23/1980
grid-enabled,1,41681,31529,7/8/1980
Face to face,5,35539,83747,5/26/2015
utilisation,1,63511,93794,10/10/1965
artificial intelligence,1,46481,85922,8/10/1956
migration,4,26743,6751,1/24/1981
portal,4,42569,45425,3/2/1990
human-resource,1,85205,62963,3/19/1957
customer loyalty,1,33924,16328,7/20/1959
synergy,3,65786,8612,7/1/1972
solution,4,47632,68625,7/25/2008
Balanced,2,70153,93520,3/24/1961
Distributed,3,78092,1825,4/25/1978
access,4,69546,3856,3/11/1980
even-keeled,3,43811,7272,4/24/1988
holistic,3,13693,68157,7/6/1975
Synergized,2,47543,62137,1/11/1976
orchestration,4,4454,6191,11/5/2002
regional,5,64126,70457,8/1/1973
Decentralized,4,69805,17772,11/12/1974
didactic,5,32776,88703,6/5/2007
motivating,5,52990,49806,4/10/1983
cohesive,5,88745,98434,8/31/2006
collaboration,1,5367,39615,4/5/1965
attitude-oriented,3,922,76987,10/14/1980
orchestration,5,45272,80593,10/16/1988
Diverse,2,15633,26301,7/18/2008
Switchable,4,45112,49360,7/13/1975
system-worthy,1,94216,30639,12/7/2016
Re-contextualized,3,27758,44342,2/9/1977
impactful,1,30915,13732,2/24/1959
Balanced,5,16900,55391,10/27/2010
system-worthy,2,77506,28305,8/14/1996
Down-sized,4,80031,1094,3/25/1972
Visionary,2,65906,85239,8/3/1973
task-force,1,1643,2145,9/30/1963
Exclusive,2,6684,59480,11/14/1974
didactic,3,51554,51069,10/27/1982
stable,3,85781,10088,6/4/1964
software,1,79796,80124,9/23/1968
client-driven,3,90760,64116,6/14/1975
workforce,4,70773,46290,12/3/1956
throughput,4,13929,72236,9/26/1959
executive,2,25488,5783,10/13/2011
next generation,5,9958,1988,3/30/1952
even-keeled,3,50188,46009,9/6/1958
task-force,2,51572,52952,3/15/2005
Graphical User Interface,3,32659,10012,10/17/1990
infrastructure,4,41727,25435,3/14/1955
capability,4,81502,52172,6/5/1969
contingency,1,67261,23556,2/12/1971
radical,1,25832,36436,7/21/1964
extranet,4,62284,34517,4/20/1957
definition,3,87654,73529,11/5/1967
