Movie_Id,character_name,character_description,protagonist,voice_only,Actor_Id
67069,Roodel,extend revolutionary supply-chains,0,1,12183
6568,Devify,unleash customized eyeballs,1,1,59822
72988,Tagcat,maximize magnetic solutions,0,0,75085
41550,Voolia,generate B2B models,0,1,38894
96195,Brainsphere,facilitate leading-edge experiences,0,0,98141
10804,Yodoo,leverage rich infrastructures,1,1,48251
31725,Thoughtmix,incentivize best-of-breed systems,0,1,68640
68575,Mydo,deploy granular functionalities,0,1,48680
2728,Oba,embrace granular bandwidth,0,1,11099
42538,Fivespan,visualize robust interfaces,0,1,33228
13483,Meevee,implement holistic e-tailers,0,0,96884
64406,Photolist,strategize impactful e-tailers,1,1,75178
85565,Voonte,reintermediate distributed infrastructures,0,0,32254
53049,Brightbean,productize front-end e-commerce,1,0,98503
64663,Rhynoodle,brand vertical users,1,0,51442
6550,Gabtune,deploy scalable web services,0,0,57456
79914,Skiptube,reinvent efficient supply-chains,1,0,12411
33723,Blogtag,strategize sexy systems,1,0,74971
92511,Kazu,engage bricks-and-clicks mindshare,1,0,70164
65693,Twitterbeat,e-enable innovative action-items,1,0,69958
43338,Dablist,mesh efficient interfaces,0,0,26298
22461,Yakidoo,embrace compelling web services,0,0,17507
9222,Brainverse,implement robust vortals,1,0,62513
10640,Babbleopia,empower turn-key schemas,1,0,80062
67887,Twinder,incentivize ubiquitous communities,1,1,94427
38140,Edgeblab,orchestrate bleeding-edge experiences,0,0,65894
72526,Vinte,extend viral functionalities,0,1,60373
55927,Photobug,mesh scalable applications,0,0,13991
20761,Blogpad,iterate rich architectures,1,1,69594
20900,Browseblab,brand next-generation solutions,0,0,61334
51310,Talane,orchestrate revolutionary bandwidth,0,1,13080
32848,Gigabox,extend best-of-breed e-business,0,0,6699
26786,Wikivu,cultivate virtual infrastructures,0,1,730
7971,Trilia,deliver clicks-and-mortar metrics,1,0,88808
44697,Buzzbean,brand vertical networks,1,0,78309
59700,Youtags,brand dot-com architectures,1,1,90068
37813,Skyndu,iterate leading-edge schemas,0,1,36128
16831,Yodel,visualize 24/365 initiatives,1,0,64861
59333,Jatri,engineer next-generation partnerships,1,1,46769
60555,Oyoyo,generate dynamic paradigms,0,1,53073
26232,Linkbuzz,integrate sexy architectures,0,1,93864
59932,Thoughtbeat,envisioneer holistic e-tailers,1,1,80509
20925,Tagtune,exploit innovative supply-chains,0,1,43074
70472,Blognation,mesh global action-items,1,0,90240
24908,Roodel,disintermediate proactive niches,0,1,19484
46623,Eayo,seize plug-and-play deliverables,1,0,80813
